world_rank,university_name,country,continent,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio,female
401-500,Indian Institute of Technology Kharagpur,India,Asia,33.2,13.3,30.5,41.4,31.7,33.3,9928.0,17.5,0.0,15 : 85,15.0
401-500,Indian Institute of Technology Madras,India,Asia,34.6,16.1,20.7,31.4,88.9,29.4,8234.0,15.9,1.0,19 : 81,19.0
401-500,University of Ioannina,Greece,Europe,14.5,36.9,17.7,56.4,32.9,30.2,20825.0,36.3,4.0,58 : 42,58.0
401-500,Iran University of Science and Technology,Iran,Asia,25.9,12.2,26.0,42.3,61.2,30.7,10311.0,23.9,0.0,24 : 76,24.0
401-500,Johannes Kepler University of Linz,Austria,Europe,19.2,58.5,13.8,51.6,37.4,30.7,19646.0,29.1,10.0,48 : 52,48.0
401-500,University of Kaiserslautern,Germany,Europe,29.6,44.1,22.6,47.5,80.2,35.2,14184.0,54.4,14.0,36 : 64,36.0
401-500,Keele University,United Kingdom,Europe,20.0,72.7,17.6,53.0,29.3,33.4,8397.0,15.7,20.0,55 : 45,55.0
401-500,University of KwaZulu-Natal,South Africa,Africa,20.3,58.6,25.7,41.5,38.2,31.6,30572.0,24.9,6.0,58 : 42,58.0
401-500,Kyung Hee University,South Korea,Asia,26.1,46.4,27.6,39.2,89.4,33.6,24356.0,17.4,14.0,,
401-500,Kyushu University,Japan,Asia,36.5,26.4,27.5,31.8,83.2,32.8,18925.0,6.7,8.0,28 : 72,28.0
401-500,Lehigh University,United States of America,North_America,23.9,36.0,15.0,58.2,38.9,32.8,6300.0,11.3,15.0,44 : 56,44.0
401-500,Louisiana State University,United States of America,North_America,26.8,26.1,27.7,37.8,,,28116.0,20.1,6.0,52 : 48,52.0
401-500,University of Macau,Macau,Asia,18.5,98.4,17.0,49.7,34.9,33.8,8521.0,14.9,31.0,58 : 42,58.0
